"supplier_product_code","name","category_name","subcategory_name","Width (m)","Length (m)","Width (m)","Depth (m)","Weight (kg)","List Price £","Discount %","Direct2 Cost Price £","supplier_product_code","SKU","Lead Time in Days","EAN","environmental_text","Product Manufacturer","colour","Unit of Measure","feature1","feature2"
"Product Name","Product Description","Category","Sub Category","Width (m)","Length (m)","Width (m)","Depth (m)","Weight (kg)","List Price £","Discount %","Direct2 Cost Price £","Supplier Product Code","SKU","Lead Time in Days","EAN","Product Long Description","Product Manufacturer","Finish/Colour","Unit of Measure","Features","Features"
"EURO2800","2800L Euro:Septic Tank ","Septic Tank","Septic Tank",,"N/A",1.8,2.7,250,660,0,"N/A","EURO2800","N/A",5,"N/A","The Euro-Septic offers significant technical improvements and cost-savings over current market options. The range, available in capacities from 2800-4500L is CE marked to comply with the Construction Project Regulations and compliments Marsh’s existing range of horizontal Septic Tanks. Tested and certified to British Standard EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Heavy Duty Shell as standard. Manufactured in the UK"
"EURO3800","3800L Euro:Septic Tank ","Septic Tank","Septic Tank",,"N/A",2,3,250,828,0,"N/A","EURO3800","N/A",5,"N/A","The Euro-Septic offers significant technical improvements and cost-savings over current market options. The range, available in capacities from 2800-4500L is CE marked to comply with the Construction Project Regulations and compliments Marsh’s existing range of horizontal Septic Tanks. Tested and certified to British Standard EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Heavy Duty Shell as standard. Manufactured in the UK"
"EURO4500","4500L Euro:Septic Tank","Septic Tank","Septic Tank",,"N/A",2.1,3.1,250,999,0,"N/A","EURO4500","N/A",5,"N/A","The Euro-Septic offers significant technical improvements and cost-savings over current market options. The range, available in capacities from 2800-4500L is CE marked to comply with the Construction Project Regulations and compliments Marsh’s existing range of horizontal Septic Tanks. Tested and certified to British Standard EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Heavy Duty Shell as standard. Manufactured in the UK"
"EUROSS2800","Shallow 2800L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,3,1.2,1.7,250,859,0,"N/A","EUROSS2800","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS3800","Shallow 3800L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,4,1.2,1.7,2.7,1014,0,"N/A","EUROSS3800","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS4500","Shallow 4500L Euro:Septic Tank","Septic Tank","Shallow Septic ",,2.6,1.6,2.1,270,1134,0,"N/A","EUROSS4500","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS6000","Shallow 6000L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,2.9,1.9,2.4,290,1432,0,"N/A","EUROSS6000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS8000","Shallow 8000L Euro:Septic Tank","Septic Tank","Shallow Septic ",,3.6,1.9,2.4,310,1671,0,"N/A","EUROSS8000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
"EUROSS10000","Shallow 10000L Euro:Septic Tank ","Septic Tank","Shallow Septic ",,4.2,1.9,2.4,330,2088,0,"N/A","EUROSS10000","N/A",5,"N/A","The Horizontal Septic Tank range offered by Marsh in the simplest way of treating wastewater from small developments. A Septic tank holds sewage and allows solids to settle into sludge at the bottom of the tank. Unlike a Sewage Treatment Plant the Septic tank cannot discharge directly into a watercourse so a drainage field will be required. Tested and certified to BS EN 12566:1 Annex B. ","Marsh Industries Ltd","Cream","N/A","100% Virgin Resin","no fillers eg Chalk. Lifiting Eyes for easy installation. Shallow Dig for ease of installtion in high water table areas Feet to keep product stable during installation. Keying in lip to aid anchoring into granular/concrete surrounds. Cover & Frame as standard. Manufactured in the UK"
